phase,endpoint,params_json,raw_path
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00168933_2022_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00168933_2022_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/irdsSttus/00168933_2022_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00168933_2022_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00168933_2022_11011.json
phase1,alotMatter,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/alotMatter/00168933_2022_11011.json
phase1,empSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/empSttus/00168933_2022_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00168933_2023_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00168933_2023_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/irdsSttus/00168933_2023_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00168933_2023_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00168933_2023_11011.json
phase1,alotMatter,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/alotMatter/00168933_2023_11011.json
phase1,empSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/empSttus/00168933_2023_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00168933_2024_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00168933_2024_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/irdsSttus/00168933_2024_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00168933_2024_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00168933_2024_11011.json
phase1,alotMatter,"{""bsns_year"": ""2024"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/alotMatter/00168933_2024_11011.json
phase1,empSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/empSttus/00168933_2024_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00168933_2025_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00168933_2025_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/irdsSttus/00168933_2025_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00168933_2025_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00168933_2025_11011.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/alotMatter/00168933_2025_11011.json
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",raw/empSttus/00168933_2025_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00168933_2025_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00168933_2025_11012.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/irdsSttus/00168933_2025_11012.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/cprndNrdmpBlce/00168933_2025_11012.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/newCaplScritsNrdmpBlce/00168933_2025_11012.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/alotMatter/00168933_2025_11012.json
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/empSttus/00168933_2025_11012.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00168933_2026_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00168933_2026_11012.json
phase1,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/irdsSttus/00168933_2026_11012.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/cprndNrdmpBlce/00168933_2026_11012.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/newCaplScritsNrdmpBlce/00168933_2026_11012.json
phase1,alotMatter,"{""bsns_year"": ""2026"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/alotMatter/00168933_2026_11012.json
phase1,empSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00168933"", ""reprt_code"": ""11012""}",raw/empSttus/00168933_2026_11012.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00112332_2021_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00112332_2021_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/irdsSttus/00112332_2021_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00112332_2021_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00112332_2021_11011.json
phase1,alotMatter,"{""bsns_year"": ""2021"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/alotMatter/00112332_2021_11011.json
phase1,empSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/empSttus/00112332_2021_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00112332_2022_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00112332_2022_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/irdsSttus/00112332_2022_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00112332_2022_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00112332_2022_11011.json
phase1,alotMatter,"{""bsns_year"": ""2022"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/alotMatter/00112332_2022_11011.json
phase1,empSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/empSttus/00112332_2022_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00112332_2023_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00112332_2023_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/irdsSttus/00112332_2023_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2023"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00112332_2023_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2023"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00112332_2023_11011.json
phase1,alotMatter,"{""bsns_year"": ""2023"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/alotMatter/00112332_2023_11011.json
phase1,empSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/empSttus/00112332_2023_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00112332_2024_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00112332_2024_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/irdsSttus/00112332_2024_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00112332_2024_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00112332_2024_11011.json
phase1,alotMatter,"{""bsns_year"": ""2024"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/alotMatter/00112332_2024_11011.json
phase1,empSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/empSttus/00112332_2024_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00112332_2025_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00112332_2025_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/irdsSttus/00112332_2025_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00112332_2025_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00112332_2025_11011.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/alotMatter/00112332_2025_11011.json
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11011""}",raw/empSttus/00112332_2025_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00112332_2025_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00112332_2025_11012.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/irdsSttus/00112332_2025_11012.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/cprndNrdmpBlce/00112332_2025_11012.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/newCaplScritsNrdmpBlce/00112332_2025_11012.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/alotMatter/00112332_2025_11012.json
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/empSttus/00112332_2025_11012.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00112332_2026_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00112332_2026_11012.json
phase1,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/irdsSttus/00112332_2026_11012.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/cprndNrdmpBlce/00112332_2026_11012.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/newCaplScritsNrdmpBlce/00112332_2026_11012.json
phase1,alotMatter,"{""bsns_year"": ""2026"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/alotMatter/00112332_2026_11012.json
phase1,empSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00112332"", ""reprt_code"": ""11012""}",raw/empSttus/00112332_2026_11012.json
